system:time_start,ResultantVelocity
2019-01-31,0.6698064516129032
2019-02-28,1.247642857142857
2019-03-31,2.183516129032258
2019-04-30,2.5931
2019-05-31,4.0039354838709675
2019-06-30,2.8699
2019-07-31,4.818290322580645
2019-08-31,2.9101935483870967
2019-09-30,3.4102333333333332
2019-10-31,1.5170967741935484
2019-11-30,1.9467666666666665
2019-12-31,0.9618709677419354
2020-01-31,0.908
2020-02-29,1.334793103448276
2020-03-31,2.226483870967742
2020-04-30,3.0239
2020-05-31,3.396161290322581
2020-06-30,3.7608
2020-07-31,3.958387096774193
2020-08-31,3.3195483870967744
2020-09-30,2.7360666666666664
2020-10-31,3.001451612903226
2020-11-30,1.5266333333333333
2020-12-31,0.9596
