system:time_start,MangroveIndex
2019-01-31,0.18590210998718387
2019-02-28,0.1951360352317046
2019-03-31,0.18966001991959341
2019-04-30,0.1306408629945277
2019-05-31,0.13187382515195414
2019-06-30,0.2036386248786351
2019-07-31,0.19058914929352316
2019-08-31,0.2853131644840372
2019-09-30,
2019-10-31,0.27775006436220334
2019-11-30,0.05947044997469725
2019-12-31,0.0772861237604821
2020-01-31,0.07871202585560745
2020-02-29,0.036060852112275554
2020-03-31,0.10398299332612365
2020-04-30,0.0339641130632347
2020-05-31,0.099708066838642
2020-06-30,0.1186797365871369
2020-07-31,0.308223161457983
2020-08-31,0.18949684576132958
2020-09-30,0.22306020274894783
2020-10-31,0.16965743891849439
2020-11-30,0.2193123069334662
2020-12-31,0.17923263716607374
