system:time_start,MVI
"May 14, 2021",26.304
"May 19, 2021",2.462
"May 24, 2021",0.167
"May 29, 2021",4.85
"Jun 3, 2021",0.27
"Jun 8, 2021",0.082
"Jun 13, 2021",0.212
"Jun 18, 2021",-0.053
"Jun 23, 2021",0.2
"Jun 28, 2021",2.7
"Jul 3, 2021",5.087
"Jul 8, 2021",-0.052
"Jul 13, 2021",-0.214
"Jul 18, 2021",2.75
"Jul 23, 2021",-3.585
"Jul 28, 2021",-0.074
"Aug 2, 2021",0.156
"Aug 7, 2021",0.178
"Aug 12, 2021",-7.063
"Aug 17, 2021",-0.078
"Aug 22, 2021",7.529
"Aug 27, 2021",-23.981
"Sep 1, 2021",-6.865
"Sep 6, 2021",0.096
"Sep 11, 2021",0.097
"Sep 16, 2021",2.711
"Sep 21, 2021",0.038
"Sep 26, 2021",2.001
"Oct 1, 2021",2.017
"Oct 6, 2021",0.191
"Oct 11, 2021",0.121
"Oct 16, 2021",0.425
"Oct 21, 2021",2.756
"Oct 26, 2021",2.909
"Oct 31, 2021",0.199
"Nov 5, 2021",2.756
"Nov 10, 2021",2.487
"Nov 15, 2021",0.464
"Nov 20, 2021",8.688
"Nov 25, 2021",2.541
"Nov 30, 2021",2.557
"Dec 5, 2021",0.071
"Dec 10, 2021",2.477
"Dec 15, 2021",-0.1
"Dec 20, 2021",2.752
"Dec 25, 2021",2.381
"Dec 30, 2021",0.155
